code,Departamento,Región
CO-ANT,Antioquia,Andina
,Boyacá,Andina
,Caldas,Andina
,Cundinamarca,Andina
,Huila,Andina
,Norte de Santander,Andina
,Quindío,Andina
,Risaralda,Andina
,Santander,Andina
,Tolima,Andina
,Atlántico,Caribe
,Bolívar,Caribe
,Cesar,Caribe
,Córdoba,Caribe
,La Guajira,Caribe
,Magdalena,Caribe
,San Andrés y Providencia,Caribe
,Sucre,Caribe
,Chocó,Pacífico
,Valle del Cauca ,Pacífico
,Cauca ,Pacífico
,Nariño ,Pacífico
,Meta ,Orinoquía
,Vichada ,Orinoquía
,Casanare ,Orinoquía
,Arauca ,Orinoquía
,Amazonas ,Amazonía
,Caquetá ,Amazonía
,Guainía ,Amazonía
,Guaviare ,Amazonía
,Putumayo ,Amazonía
,Vaupés ,Amazonía